Diâmetro (nm),Tempo (s)
292.36,1.6000
281.64,1.6320
287.16,1.6640
292.69,1.6960
298.21,1.7280
287.75,1.7600
292.98,1.7920
283.30,1.8240
288.27,1.8560
293.24,1.8880
284.01,1.9200
288.74,1.9520
293.48,1.9840
284.65,2.0160
289.17,2.0480
293.69,2.0800
285.24,2.1120
289.57,2.1440
293.89,2.1760
285.78,2.2080
289.93,2.2400
282.30,2.2720
286.28,2.3040
290.26,2.3360
294.23,2.3680
298.21,2.4000
290.56,2.4320
294.39,2.4640
298.21,2.4960
302.03,2.5280
305.86,2.5600
298.21,2.5920
301.89,2.6240
305.57,2.6560
298.21,2.6880
301.76,2.7200
294.78,2.7520
298.21,2.7840
301.64,2.8160
305.06,2.8480
308.49,2.8800
301.52,2.9120
304.84,2.9440
308.15,2.9760
301.42,3.0080
304.62,3.0400
307.83,3.0720
311.04,3.1040
314.24,3.1360
317.45,3.1680
310.63,3.2000
304.23,3.2320
307.25,3.2640
310.26,3.2960
304.06,3.3280
306.98,3.3600
301.05,3.3920
303.89,3.4240
306.73,3.4560
300.97,3.4880
303.73,3.5200
298.21,3.5520
300.90,3.5840
295.59,3.6160
298.21,3.6480
300.82,3.6800
295.66,3.7120
298.21,3.7440
300.76,3.7760
295.72,3.8080
298.21,3.8400
300.69,3.8720
295.78,3.9040
298.21,3.9360
300.63,3.9680
303.06,4.0000
298.21,4.0320
300.58,4.0640
295.90,4.0960
298.21,4.1280
300.52,4.1600
295.95,4.1920
298.21,4.2240
300.47,4.2560
296.00,4.2880
291.73,4.3200
293.89,4.3520
296.05,4.3840
291.86,4.4160
293.98,4.4480
296.09,4.4800
292.00,4.5120
294.07,4.5440
296.14,4.5760
292.12,4.6080
294.15,4.6400
296.18,4.6720
292.24,4.7040
294.23,4.7360
296.22,4.7680
298.21,4.8000
294.31,4.8320
296.26,4.8640
292.47,4.8960
294.39,4.9280
290.71,4.9600
287.16,4.9920
289.01,5.0240
290.85,5.0560
287.37,5.0880
289.17,5.1200
290.98,5.1520
287.56,5.1840
289.33,5.2160
291.11,5.2480
292.88,5.2800
294.66,5.3120
296.43,5.3440
292.98,5.3760
294.72,5.4080
291.35,5.4400
293.07,5.4720
294.78,5.5040
296.50,5.5360
298.21,5.5680
299.92,5.6000
301.64,5.6320
303.35,5.6640
299.89,5.6960
301.58,5.7280
303.26,5.7600
304.95,5.7920
306.63,5.8240
308.32,5.8560
304.84,5.8880
306.49,5.9200
308.15,5.9520
304.73,5.9840
306.36,6.0160
303.02,6.0480
304.62,6.0800
301.36,6.1120
302.94,6.1440
304.52,6.1760
306.10,6.2080
302.87,6.2400
304.42,6.2720
305.97,6.3040
307.53,6.3360
309.08,6.3680
305.86,6.4000
307.38,6.4320
304.23,6.4640
305.74,6.4960
307.25,6.5280
308.75,6.5600
310.26,6.5920
307.11,6.6240
308.59,6.6560
305.52,6.6880
306.98,6.7200
308.44,6.7520
305.41,6.7840
306.85,6.8160
308.29,6.8480
305.31,6.8800
306.73,6.9120
308.15,6.9440
305.21,6.9760
306.61,7.0080
308.01,7.0400
309.41,7.0720
306.49,7.1040
307.87,7.1360
305.02,7.1680
306.38,7.2000
307.74,7.2320
304.93,7.2640
306.27,7.2960
303.51,7.3280
304.84,7.3600
302.13,7.3920
303.44,7.4240
300.79,7.4560
302.08,7.4880
303.37,7.5200
304.66,7.5520
302.03,7.5840
303.31,7.6160
304.58,7.6480
301.98,7.6800
303.24,7.7120
300.69,7.7440
301.94,7.7760
303.18,7.8080
304.42,7.8400
305.66,7.8720
306.91,7.9040
304.35,7.9360
301.85,7.9680
303.06,8.0000
304.27,8.0320
305.48,8.0640
303.00,8.0960
304.20,8.1280
301.76,8.1600
302.94,8.1920
300.55,8.2240
301.72,8.2560
302.89,8.2880
300.52,8.3200
298.21,8.3520
299.35,8.3840
300.49,8.4160
301.64,8.4480
