Numero de Picos,Tempo (s)
17,1.6000
18,1.6320
18,1.6640
18,1.6960
18,1.7280
19,1.7600
19,1.7920
20,1.8240
20,1.8560
20,1.8880
21,1.9200
21,1.9520
21,1.9840
22,2.0160
22,2.0480
22,2.0800
23,2.1120
23,2.1440
23,2.1760
24,2.2080
24,2.2400
25,2.2720
25,2.3040
25,2.3360
25,2.3680
25,2.4000
26,2.4320
26,2.4640
26,2.4960
26,2.5280
26,2.5600
27,2.5920
27,2.6240
27,2.6560
28,2.6880
28,2.7200
29,2.7520
29,2.7840
29,2.8160
29,2.8480
29,2.8800
30,2.9120
30,2.9440
30,2.9760
31,3.0080
31,3.0400
31,3.0720
31,3.1040
31,3.1360
31,3.1680
32,3.2000
33,3.2320
33,3.2640
33,3.2960
34,3.3280
34,3.3600
35,3.3920
35,3.4240
35,3.4560
36,3.4880
36,3.5200
37,3.5520
37,3.5840
38,3.6160
38,3.6480
38,3.6800
39,3.7120
39,3.7440
39,3.7760
40,3.8080
40,3.8400
40,3.8720
41,3.9040
41,3.9360
41,3.9680
41,4.0000
42,4.0320
42,4.0640
43,4.0960
43,4.1280
43,4.1600
44,4.1920
44,4.2240
44,4.2560
45,4.2880
46,4.3200
46,4.3520
46,4.3840
47,4.4160
47,4.4480
47,4.4800
48,4.5120
48,4.5440
48,4.5760
49,4.6080
49,4.6400
49,4.6720
50,4.7040
50,4.7360
50,4.7680
50,4.8000
51,4.8320
51,4.8640
52,4.8960
52,4.9280
53,4.9600
54,4.9920
54,5.0240
54,5.0560
55,5.0880
55,5.1200
55,5.1520
56,5.1840
56,5.2160
56,5.2480
56,5.2800
56,5.3120
56,5.3440
57,5.3760
57,5.4080
58,5.4400
58,5.4720
58,5.5040
58,5.5360
58,5.5680
58,5.6000
58,5.6320
58,5.6640
59,5.6960
59,5.7280
59,5.7600
59,5.7920
59,5.8240
59,5.8560
60,5.8880
60,5.9200
60,5.9520
61,5.9840
61,6.0160
62,6.0480
62,6.0800
63,6.1120
63,6.1440
63,6.1760
63,6.2080
64,6.2400
64,6.2720
64,6.3040
64,6.3360
64,6.3680
65,6.4000
65,6.4320
66,6.4640
66,6.4960
66,6.5280
66,6.5600
66,6.5920
67,6.6240
67,6.6560
68,6.6880
68,6.7200
68,6.7520
69,6.7840
69,6.8160
69,6.8480
70,6.8800
70,6.9120
70,6.9440
71,6.9760
71,7.0080
71,7.0400
71,7.0720
72,7.1040
72,7.1360
73,7.1680
73,7.2000
73,7.2320
74,7.2640
74,7.2960
75,7.3280
75,7.3600
76,7.3920
76,7.4240
77,7.4560
77,7.4880
77,7.5200
77,7.5520
78,7.5840
78,7.6160
78,7.6480
79,7.6800
79,7.7120
80,7.7440
80,7.7760
80,7.8080
80,7.8400
80,7.8720
80,7.9040
81,7.9360
82,7.9680
82,8.0000
82,8.0320
82,8.0640
83,8.0960
83,8.1280
84,8.1600
84,8.1920
85,8.2240
85,8.2560
85,8.2880
86,8.3200
87,8.3520
87,8.3840
87,8.4160
87,8.4480
87,8.4800
87,8.5120
87,8.5440
87,8.5760
88,8.6080
88,8.6400
89,8.6720
89,8.7040
89,8.7360
89,8.7680
90,8.8000
90,8.8320
90,8.8640
90,8.8960
91,8.9280
91,8.9600
91,8.9920
91,9.0240
91,9.0560
92,9.0880
92,9.1200
92,9.1520
93,9.1840
93,9.2160
93,9.2480
94,9.2800
94,9.3120
94,9.3440
94,9.3760
94,9.4080
94,9.4400
95,9.4720
95,9.5040
96,9.5360
96,9.5680
96,9.6000
96,9.6320
96,9.6640
96,9.6960
96,9.7280
96,9.7600
97,9.7920
97,9.8240
98,9.8560
98,9.8880
98,9.9200
99,9.9520
99,9.9840
99,10.0160
100,10.0480
100,10.0800
100,10.1120
101,10.1440
101,10.1760
101,10.2080
102,10.2400
103,10.2720
103,10.3040
103,10.3360
103,10.3680
104,10.4000
104,10.4320
104,10.4640
105,10.4960
106,10.5280
106,10.5600
106,10.5920
106,10.6240
106,10.6560
107,10.6880
107,10.7200
108,10.7520
108,10.7840
108,10.8160
109,10.8480
109,10.8800
109,10.9120
110,10.9440
110,10.9760
110,11.0080
110,11.0400
110,11.0720
110,11.1040
111,11.1360
111,11.1680
112,11.2000
112,11.2320
112,11.2640
112,11.2960
113,11.3280
113,11.3600
114,11.3920
114,11.4240
114,11.4560
115,11.4880
115,11.5200
115,11.5520
115,11.5840
116,11.6160
116,11.6480
116,11.6800
116,11.7120
116,11.7440
116,11.7760
117,11.8080
117,11.8400
118,11.8720
118,11.9040
118,11.9360
119,11.9680
119,12.0000
120,12.0320
120,12.0640
120,12.0960
121,12.1280
121,12.1600
122,12.1920
122,12.2240
122,12.2560
123,12.2880
123,12.3200
123,12.3520
123,12.3840
123,12.4160
124,12.4480
124,12.4800
124,12.5120
124,12.5440
124,12.5760
124,12.6080
125,12.6400
125,12.6720
126,12.7040
126,12.7360
126,12.7680
127,12.8000
128,12.8320
128,12.8640
128,12.8960
129,12.9280
129,12.9600
130,12.9920
130,13.0240
130,13.0560
130,13.0880
131,13.1200
131,13.1520
